Gender,Age,Annual Salary,Actual Purchased,Predicted Purchased
Male,35,20000,1.0,1.0
Male,40,43500,0.0,1.0
Male,49,74000,0.0,0.0
Male,40,107500,1.0,1.0
Male,25,79000,0.0,0.0
Female,47,33500,0.0,0.0
Female,46,132500,0.0,0.0
Male,42,64000,0.0,0.0
Female,30,84500,0.0,0.0
Male,41,52000,0.0,0.0
Male,42,80000,0.0,0.0
Male,47,23000,0.0,0.0
Female,32,72500,1.0,1.0
Female,27,57000,0.0,1.0
Female,42,108000,0.0,0.0
Female,33,149000,0.0,0.0
Male,35,75000,0.0,0.0
Male,35,53000,0.0,0.0
Male,46,79000,0.0,1.0
Female,39,134000,1.0,1.0
Female,39,51500,0.0,0.0
Female,49,39000,0.0,0.0
Male,54,25500,0.0,0.0
Female,41,61500,0.0,0.0
Female,31,117500,0.0,1.0
Male,24,58000,1.0,1.0
Male,40,107000,1.0,1.0
Male,40,97500,1.0,1.0
Female,48,29000,0.0,0.0
Female,38,147500,0.0,0.0
Male,45,26000,0.0,0.0
Male,32,67500,1.0,1.0
Female,37,62000,0.0,0.0
Male,41,79500,0.0,0.0
Female,44,113500,0.0,0.0
Female,47,41500,0.0,0.0
Female,38,55000,0.0,0.0
Female,39,114500,0.0,0.0
Male,42,73000,0.0,0.0
Male,26,15000,0.0,0.0
Female,21,37500,0.0,0.0
Female,59,39500,0.0,0.0
Female,39,66500,0.0,0.0
Female,43,80500,0.0,1.0
Male,49,86000,1.0,0.0
Male,37,75000,0.0,0.0
Female,49,76500,1.0,0.0
Male,28,123000,1.0,1.0
Female,59,48500,0.0,0.0
Female,40,60500,0.0,0.0
Female,38,99500,0.0,0.0
Male,51,35500,1.0,1.0
Female,55,130000,0.0,0.0
Female,23,56500,1.0,1.0
Female,49,43500,1.0,0.0
Female,49,36000,0.0,0.0
Male,48,21500,0.0,0.0
Female,49,98500,0.0,0.0
Male,43,59500,0.0,0.0
Female,35,147000,0.0,0.0
Female,50,109500,1.0,1.0
Male,48,26500,0.0,0.0
Male,49,88000,0.0,0.0
Female,38,72500,0.0,0.0
Male,27,58000,1.0,1.0
Male,35,22000,1.0,1.0
Female,35,71000,0.0,0.0
Male,43,129000,1.0,0.0
Male,41,45000,0.0,0.0
Male,39,42000,0.0,0.0
Female,45,40500,1.0,1.0
Female,51,37500,0.0,0.0
Male,20,86500,0.0,0.0
Female,41,63000,1.0,1.0
Male,58,41500,1.0,1.0
Female,50,115500,0.0,0.0
Female,28,55500,1.0,0.0
Male,34,32500,0.0,0.0
Female,57,106500,1.0,1.0
Female,50,53500,1.0,1.0
Male,49,28000,0.0,0.0
Male,53,151500,1.0,1.0
Male,42,88500,1.0,1.0
Female,27,17000,0.0,0.0
Female,59,76000,0.0,0.0
Female,51,136500,0.0,0.0
Female,49,120500,1.0,0.0
Female,32,35500,0.0,0.0
Male,30,44500,1.0,0.0
Female,27,18500,0.0,0.0
Female,36,50000,0.0,1.0
Male,60,144500,0.0,0.0
Male,38,51000,0.0,0.0
Female,29,38500,0.0,0.0
Female,61,103500,0.0,0.0
Female,33,151500,1.0,0.0
Male,45,75500,0.0,0.0
Female,26,17000,0.0,0.0
Male,30,87000,1.0,1.0
Male,38,60500,1.0,1.0
Female,28,84000,0.0,0.0
Female,50,88000,1.0,1.0
Male,26,80000,0.0,0.0
Male,39,42000,0.0,0.0
Male,26,16000,0.0,0.0
Female,51,21500,0.0,0.0
Male,36,56500,1.0,1.0
Male,47,29500,1.0,1.0
Female,18,44000,0.0,0.0
Male,43,109500,0.0,0.0
Male,61,43500,0.0,0.0
Female,41,30000,1.0,1.0
Male,31,58000,0.0,0.0
Female,29,83000,0.0,0.0
Female,48,108500,0.0,0.0
